[ 2025-02-08 13:22:10,616 ] 16 root - INFO - Initiate the data ingestion
[ 2025-02-08 13:23:14,304 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-08 13:23:14,304 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-08 13:23:14,304 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-08 13:23:14,393 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-08 13:23:14,393 ] 18 root - INFO - Data Initiation completed
[ 2025-02-08 13:23:14,401 ] 23 root - INFO - Initiate the data validation
[ 2025-02-08 13:23:14,491 ] 33 root - INFO - Required number of columns is 2
[ 2025-02-08 13:23:14,504 ] 34 root - INFO - Dataframe has columns: 31
[ 2025-02-08 13:23:14,504 ] 33 root - INFO - Required number of columns is 2
[ 2025-02-08 13:23:14,504 ] 34 root - INFO - Dataframe has columns: 31
[ 2025-02-08 13:23:14,714 ] 25 root - INFO - Data Validation completed
[ 2025-02-08 13:23:14,714 ] 29 root - INFO - Data Trasformation started
[ 2025-02-08 13:23:14,714 ] 62 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-08 13:23:14,714 ] 64 root - INFO - Starting data transformation
[ 2025-02-08 13:23:14,753 ] 47 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-08 13:23:14,753 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-08 13:23:14,781 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-08 13:23:14,785 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-08 13:23:14,785 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-08 13:23:14,788 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-08 13:23:14,790 ] 33 root - INFO - Data Trasformation completed
[ 2025-02-08 13:23:14,790 ] 35 root - INFO - Model Trainig Started
